No,Title,ISBN,Genre,Publisher
1,Artificial Intelligence Basics,BK008,Technology,Future Minds Press
2,Beyond the Stars,BK014,Science Fiction,Nova Publishing
3,Business Management 101,BK010,Business,Success Publications
4,Cyber Security Fundamentals,BK011,Technology,CyberTech Press
5,Data Structures Made Easy,BK006,Education,Academic House
6,Echoes of the Past,BK004,Historical Fiction,Heritage Press
7,Hidden Treasure Island,BK009,Adventure,Explorer Books
8,Introduction to Cloud Systems,BK013,Education,Digital Learning House
9,Journey to Mars,BK003,Science Fiction,Galaxy Books
10,Mountain Expedition,BK015,Adventure,Summit Publications
11,Network Design Essentials,BK007,Technology,TechWorld Press
12,Ocean Mysteries,BK012,Mystery,Blue Wave Publications
13,Programming in C++,BK001,Education,CodeCraft Publishing
14,The Last Kingdom,BK005,Historical Fiction,Legacy Books
15,Whispering Shadows,BK002,Mystery,Maple Tree Publishing
